"ordospaceInventoryId","ordospaceRoleRoutes","ordospaceComponent","existingLocationFunction","currentStates","salesopsId","salesopsComponent","salesopsZipEvidence","salesopsCodeEvidence","liveEvidence","officialV0Evidence","classification","classificationReason","derivedBasis","preserveLayout","preserveData","preserveFunction","visualToMigrate","forbiddenCopy","responsiveStrategy","accessibilityRequirements","implementationRound","verificationRound","verificationMethod","uncertainty","completionStatus","implementationTarget","evidence"
"UI-001","authenticated/all","sidebar `#sidebar`","exact role menu/profile/theme","default, hover, active, badge","SO-NAV-001","Sidebar","components/dashboard/sidebar.tsx","Sidebar","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Sidebar tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/sidebar.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-002","authenticated/all","topbar `#topbar`","crumbs, CTA, notifications, avatar","default, dropdown open, focus","SO-HEADER-001","Header","components/dashboard/header.tsx","Header","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Header tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/header.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-003","authenticated/all","mobile header `#mheader`","title, drawer, avatar","default, focus","SO-HEADER-001","Header","components/dashboard/header.tsx","Header","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Header tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/header.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-004","authenticated/all","drawer `#drawerOverlay/#drawerMenu`","role menu","closed/open, backdrop, Escape","SO-SHEET-001","Drawer/Sheet","components/ui/sheet.tsx","Sheet","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Derived","Combine SO-SHEET-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Combine SO-SHEET-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Drawer/Sheet tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/sheet.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-005","authenticated/all","mobile tabs `#mtab`","role mobile menu/badges","default, active, badge","SO-TAB-001","Tab","components/ui/tabs.tsx","Tabs","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Tab tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/tabs.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-006","authenticated/all","notification panel","role notification samples","closed/open, unread/read, empty","SO-POPOVER-001","Popover","components/ui/popover.tsx","Popover","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Popover tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/popover.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-007","authenticated/all","theme control","light/dark/system storage","default, hover, selected","SO-SWITCH-001","Switch","components/ui/switch.tsx","Switch","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Switch tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/switch.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-008","all dashboard","breadcrumb/page title","exact `CRUMBS`/`TITLES`","default, long title","SO-TITLE-001","Page title","components/dashboard/header.tsx","sectionTitles","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Page title tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/header.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-009","all dashboard","primary role CTA","exact role deep link","default, hover, focus, disabled","SO-SHELL-001","Dashboard Shell","app/page.tsx","Dashboard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Dashboard Shell tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 5","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","app/page.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-010","shared","status badge factory","exact label/tone","default, pending, warning, critical, ok","SO-STATUS-001","Status chip","components/dashboard/sections/deals.tsx","statusConfig","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Exact","Purpose, visible structure, and state grammar have a direct SalesOps counterpart; ORDOSPACE content/actions replace only data.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Status chip tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 3","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/sections/deals.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
